Username,Password
fakeuser001,FakePass001!
fakeuser002,FakePass002!
fakeuser003,FakePass003!
fakeuser004,FakePass004!
fakeuser005,FakePass005!
fakeuser006,FakePass006!
fakeuser007,FakePass007!
fakeuser008,FakePass008!
fakeuser009,FakePass009!
fakeuser010,FakePass010!
fakeuser011,FakePass011!
fakeuser012,FakePass012!
fakeuser013,FakePass013!
fakeuser014,FakePass014!
fakeuser015,FakePass015!
fakeuser016,FakePass016!
fakeuser017,FakePass017!
fakeuser018,FakePass018!
fakeuser019,FakePass019!
fakeuser020,FakePass020!
